expiry,dte,atm_iv
2026-04-24,3,0.4180356048583984
2026-05-01,10,0.41889008850097653
2026-05-08,17,0.42267423034667967
2026-05-15,24,0.41885957122802736
2026-05-22,31,0.42409328353881837
2026-05-29,38,0.4178830184936523
2026-06-18,58,0.42171293624877926
2026-07-17,87,0.4280757876586915
2026-08-21,122,0.4327067838287354
2026-09-18,150,0.42970846176147465
2026-10-16,178,0.43949687705993656
2026-11-20,213,0.43698683135986327
2026-12-18,241,0.43625441680908206
2027-01-15,269,0.4398401963806152
2027-03-19,332,0.4414576118469239
2027-06-17,422,0.4438761057281495
2027-12-17,605,0.44880464530944825
2028-01-21,640,0.4490182662200928
2028-12-15,969,0.4512002512359619
